program,source,type,size,hdr.ipv4.total_len,hdr.ipv4.protocol,hdr.ipv4.flags[1:1],hdr.ipv4.ttl,meta.srcPort,meta.dstPort,meta.flag[2:2],meta.flag[1:1],tcam_used,tcam_total,tcam_percent,tcam_fraction,sram_used,sram_total,sram_percent,sram_fraction
sample_ranges_0_ternaries_1_exacts_7_size_7531,new,ranges,7531,0,0,0,0,0,0,0,0,45,288,15.62%,45/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_1_exacts_7_size_7974,new,ranges,7974,0,0,0,1,0,0,0,0,48,288,16.67%,48/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_2_exacts_6_size_1511,new,ranges,1511,0,0,1,0,0,0,1,0,9,288,3.12%,9/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_2_exacts_6_size_1801,new,ranges,1801,1,0,1,0,0,0,0,0,12,288,4.17%,12/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_2_exacts_6_size_4042,new,ranges,4042,0,0,1,0,0,0,0,0,24,288,8.33%,24/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_2_exacts_6_size_7166,new,ranges,7166,0,0,0,0,0,0,0,1,42,288,14.58%,42/288,2,960,0.21%,2/960
sample_ranges_0_ternaries_3_exacts_5_size_1046,new,ranges,1046,0,1,0,1,0,0,0,0,9,288,3.12%,9/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_3_exacts_5_size_1742,new,ranges,1742,0,1,0,0,0,0,1,0,12,288,4.17%,12/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_3_exacts_5_size_2012,new,ranges,2012,0,1,1,1,0,0,0,0,12,288,4.17%,12/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_3_exacts_5_size_2758,new,ranges,2758,0,1,1,1,0,0,0,0,18,288,6.25%,18/288,1,960,0.10%,1/960
sample_ranges_0_ternaries_3_exacts_5_size_3231,new,ranges,3231,0,1,0,0,0,0,1,1,21,288,7.29%,21/288,1,960,0.10%,1/960
