program,source,type,size,bits,hdr.ipv4.total_len,hdr.ipv4.protocol,hdr.ipv4.flags[1:1],hdr.ipv4.ttl,meta.srcPort,meta.dstPort,meta.flag[2:2],meta.flag[1:1],tcam_used,tcam_total,tcam_percent,tcam_fraction,sram_used,sram_total,sram_percent,sram_fraction
combo_00181_eetreeet_size_1500,new,ranges,1500,,,,,,,,,,10,288,3.47%,10/288,1,960,0.10%,1/960
combo_00182_eetreete_size_1500,new,ranges,1500,,,,,,,,,,10,288,3.47%,10/288,1,960,0.10%,1/960
combo_00183_eetreett_size_1500,new,ranges,1500,,,,,,,,,,10,288,3.47%,10/288,1,960,0.10%,1/960
combo_00184_eetretee_size_1500,new,ranges,1500,,,,,,,,,,10,288,3.47%,10/288,1,960,0.10%,1/960
combo_00185_eetretet_size_1500,new,ranges,1500,,,,,,,,,,10,288,3.47%,10/288,1,960,0.10%,1/960
combo_00186_eetrette_size_1500,new,ranges,1500,,,,,,,,,,10,288,3.47%,10/288,1,960,0.10%,1/960
combo_00187_eetrettt_size_1500,new,ranges,1500,,,,,,,,,,10,288,3.47%,10/288,1,960,0.10%,1/960
combo_00188_eetreree_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00189_eetreret_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00190_eetrerte_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00191_eetrertt_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00192_eetrteee_size_1500,new,ranges,1500,,,,,,,,,,10,288,3.47%,10/288,1,960,0.10%,1/960
combo_00193_eetrteet_size_1500,new,ranges,1500,,,,,,,,,,10,288,3.47%,10/288,1,960,0.10%,1/960
combo_00194_eetrtete_size_1500,new,ranges,1500,,,,,,,,,,10,288,3.47%,10/288,1,960,0.10%,1/960
combo_00195_eetrtett_size_1500,new,ranges,1500,,,,,,,,,,10,288,3.47%,10/288,1,960,0.10%,1/960
combo_00196_eetrttee_size_1500,new,ranges,1500,,,,,,,,,,10,288,3.47%,10/288,1,960,0.10%,1/960
combo_00197_eetrttet_size_1500,new,ranges,1500,,,,,,,,,,10,288,3.47%,10/288,1,960,0.10%,1/960
combo_00198_eetrttte_size_1500,new,ranges,1500,,,,,,,,,,10,288,3.47%,10/288,1,960,0.10%,1/960
combo_00199_eetrtttt_size_1500,new,ranges,1500,,,,,,,,,,10,288,3.47%,10/288,1,960,0.10%,1/960
combo_00200_eetrtree_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00201_eetrtret_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00202_eetrtrte_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00203_eetrtrtt_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00204_eetrreee_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00205_eetrreet_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00206_eetrrete_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00207_eetrrett_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00208_eetrrtee_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00209_eetrrtet_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00210_eetrrtte_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
combo_00211_eetrrttt_size_1500,new,ranges,1500,,,,,,,,,,24,288,8.33%,24/288,1,960,0.10%,1/960
