total_len,protocol,flags,ttl,src_port,dst_port,tcp_flags_2,tcp_flags_1,size,memory
2,2,3,2,2,2,0,2,939,419.84
0,2,2,2,3,2,2,2,990,593.92
2,2,2,2,2,2,0,2,1084,655.36
2,2,0,2,2,2,2,2,1121,747.52
2,2,2,2,2,0,2,2,1182,583.68
2,2,2,2,2,2,0,2,1403,624.64
2,2,2,0,2,2,2,2,1620,1054.72
0,2,2,2,2,2,2,2,1726,1044.48
2,2,2,2,2,2,2,0,1765,716.8
2,2,2,2,2,2,2,0,1783,983.04
2,2,2,2,2,0,2,2,1799,604.16
2,2,2,2,2,2,2,0,1974,829.44
2,2,2,2,0,2,2,2,2218,696.32
2,0,2,2,2,2,2,2,2515,798.72
2,2,2,2,2,0,2,2,2640,880.64
2,2,2,2,0,2,2,2,264,573.44
2,2,2,2,2,2,2,0,2906,1126.4
2,2,2,0,2,2,2,2,3066,1382.4
2,2,2,0,2,2,2,2,3142,1208.32
2,2,2,2,2,0,2,2,3328,1413.12
2,2,0,2,2,2,2,2,3667,1228.8
2,2,0,2,2,2,2,2,3928,1136.64
2,0,2,2,2,2,2,2,3939,1249.28
2,2,2,2,0,2,2,2,774,512.0
2,2,0,2,2,2,2,2,786,675.84
2,0,2,2,2,2,2,2,82,276.48
2,2,2,2,2,0,2,2,868,655.36
2,2,2,2,2,0,2,2,944,512.0
0,2,3,3,3,2,2,1,1036,573.44
2,3,1,2,0,3,3,2,1162,716.8
2,2,0,3,3,2,1,3,1167,696.32
3,1,3,0,2,2,2,3,1269,522.24
2,3,2,3,0,2,3,1,1447,655.36
3,2,2,3,3,0,2,1,149,348.16
3,3,2,2,0,1,3,2,15,358.4
2,3,0,3,1,2,3,2,162,143.36
3,2,3,2,1,2,3,0,1641,563.2
2,3,2,1,3,3,0,2,1732,798.72
2,1,2,2,0,3,3,3,1757,931.84
2,3,2,1,3,2,3,0,1951,768.0
3,0,2,2,1,3,3,2,1999,1024.0
2,0,3,3,2,1,3,2,2065,1044.48
1,3,0,3,2,2,2,3,214,348.16
2,3,3,3,2,0,2,1,2193,1095.68
2,2,3,0,1,3,2,3,2207,942.08
2,0,1,3,2,3,2,3,2269,1034.24
2,3,3,0,3,2,1,2,2282,1136.64
2,3,3,1,3,2,2,0,2300,849.92
3,2,2,3,1,0,2,3,2367,768.0
2,3,3,3,0,2,1,2,2379,1064.96
2,2,1,3,0,2,3,3,2521,1177.6
3,2,1,3,3,2,0,2,2806,1085.44
0,2,3,2,1,3,3,2,2857,1126.4
1,0,3,3,2,2,2,3,2906,1290.24
3,2,1,3,0,3,2,2,2907,1290.24
0,3,1,3,2,2,3,2,30,614.4
