total_len,protocol,flags,ttl,src_port,dst_port,tcp_flags_2,tcp_flags_1,size,cpu,memory
0,2,2,3,3,2,2,2,1525,0.50,26.61
2,2,2,3,2,0,3,2,160,0.50,26.36
3,2,2,0,2,2,3,2,1617,0.60,26.68
0,2,3,3,2,2,2,2,1749,0.50,26.50
2,2,2,2,0,2,3,3,1803,0.40,26.82
3,0,2,2,2,2,3,2,1873,0.60,26.90
2,2,2,2,0,3,2,3,1930,0.50,26.88
2,2,3,2,2,2,3,0,1947,0.40,26.84
2,2,3,2,3,0,2,2,2089,0.50,27.09
3,2,3,0,2,2,2,2,2147,0.50,26.91
2,0,3,3,2,2,2,2,2148,0.50,26.86
2,2,2,3,2,0,2,3,2163,0.60,26.73
2,2,2,3,2,3,2,0,2165,0.50,26.89
2,3,3,2,2,0,2,2,2168,0.40,26.95
3,2,2,2,3,0,2,2,2185,0.50,26.82
3,2,0,2,2,2,3,2,2186,0.50,26.80
0,2,2,3,2,2,3,2,2198,0.40,26.91
2,2,3,3,2,2,2,0,2274,0.50,27.23
2,2,3,2,0,2,3,2,2344,0.50,26.70
2,3,3,2,0,2,2,2,2352,0.50,26.68
3,2,3,2,0,2,2,2,2363,0.50,27.01
2,2,2,2,0,2,3,3,2547,0.50,26.77
2,2,0,3,2,2,3,2,2586,0.40,26.88
2,3,3,2,2,0,2,2,2691,0.50,26.91
2,3,3,2,2,2,0,2,2973,0.40,26.73
2,2,0,3,2,2,3,2,3006,0.50,27.20
2,2,3,2,0,2,2,3,3140,0.40,26.98
3,2,2,3,2,2,0,2,3161,0.60,27.24
3,2,2,2,2,0,2,3,322,0.40,26.29
2,2,3,2,2,3,0,2,3234,0.50,27.07
2,3,0,2,2,3,2,2,3315,0.60,27.28
0,2,2,2,3,2,3,2,3335,0.40,27.12
3,3,0,2,2,2,2,2,3433,0.40,27.07
2,3,2,3,2,0,2,2,3736,0.50,27.19
2,2,3,2,2,3,0,2,376,0.60,26.37
2,3,2,2,2,3,0,2,3831,0.40,27.30
3,2,2,2,2,2,0,3,3877,0.50,27.24
3,2,0,2,3,2,2,2,3984,0.60,27.43
2,3,2,3,0,2,2,2,410,0.60,26.62
2,3,0,2,2,3,2,2,415,0.60,26.42
3,0,3,2,2,2,2,2,451,0.50,26.55
2,0,2,3,3,2,2,2,465,0.50,26.48
2,2,2,3,3,2,0,2,637,0.60,26.50
2,2,3,2,2,3,2,0,664,0.60,26.67
3,2,3,0,2,2,2,2,695,0.60,26.71
2,3,3,2,2,2,2,0,936,0.40,26.70
2,3,2,2,3,2,2,0,995,0.70,26.62
2,2,2,2,0,2,3,2,1200,0.40,26.54
2,2,2,2,0,2,3,2,1215,0.50,26.73
2,2,2,3,2,2,2,0,1261,0.60,26.45
2,2,2,2,2,0,3,2,1328,0.50,26.50
2,2,2,2,2,0,3,2,1530,0.50,26.71
2,2,2,2,0,2,2,3,1770,0.60,26.77
0,2,2,2,3,2,2,2,1778,0.40,27.20
2,2,2,2,2,3,2,0,1914,0.50,26.93
2,2,3,2,2,2,2,0,2348,0.40,27.03
2,2,2,2,0,3,2,2,2446,0.60,27.16
2,2,3,2,2,2,2,0,2605,0.60,27.21
2,2,2,0,2,3,2,2,2653,0.40,27.20
2,3,2,2,2,2,2,0,2657,0.50,26.86
2,0,2,2,2,3,2,2,2692,0.50,26.89
2,2,2,2,3,0,2,2,273,0.50,26.51
0,2,2,2,2,3,2,2,2748,0.50,27.25
0,2,2,3,2,2,2,2,2763,0.60,27.15
2,3,2,2,2,2,0,2,2863,0.50,27.05
2,2,0,2,2,3,2,2,3240,0.50,27.15
2,3,0,2,2,2,2,2,324,0.50,26.50
2,2,0,2,2,2,2,3,3477,0.50,27.40
3,2,0,2,2,2,2,2,3587,0.50,27.33
2,2,2,2,0,3,2,2,3638,0.60,27.44
3,2,2,0,2,2,2,2,3738,0.60,27.16
2,3,2,2,0,2,2,2,3749,0.60,27.38
2,2,2,3,2,0,2,2,3773,0.60,27.28
2,2,2,2,3,2,0,2,3951,0.60,27.25
0,2,2,3,2,2,2,2,3978,0.50,27.40
2,2,0,2,2,3,2,2,4034,0.50,27.28
2,0,2,2,2,3,2,2,45,0.60,26.41
2,2,0,2,2,3,2,2,501,0.50,26.54
2,0,2,2,2,3,2,2,642,0.60,26.59
2,2,2,2,2,0,2,3,768,0.60,26.65
2,2,2,3,2,2,2,0,773,0.50,26.57
2,2,2,2,2,0,3,2,804,0.40,26.52
2,0,2,2,2,2,2,3,862,0.40,26.51
2,2,3,2,2,2,0,2,939,0.60,26.41
0,2,2,2,3,2,2,2,990,0.60,26.58
2,2,2,2,2,2,0,2,1084,0.50,26.64
2,2,0,2,2,2,2,2,1121,0.50,26.73
2,2,2,2,2,0,2,2,1182,0.50,26.57
2,2,2,2,2,2,0,2,1403,0.70,26.61
2,2,2,0,2,2,2,2,1620,0.40,27.03
0,2,2,2,2,2,2,2,1726,0.60,27.02
2,2,2,2,2,2,2,0,1765,0.50,26.70
2,2,2,2,2,2,2,0,1783,0.50,26.96
2,2,2,2,2,0,2,2,1799,0.50,26.59
2,2,2,2,2,2,2,0,1974,0.40,26.81
2,2,2,2,0,2,2,2,2218,0.60,26.68
2,0,2,2,2,2,2,2,2515,0.50,26.78
2,2,2,2,2,0,2,2,2640,0.40,26.86
2,2,2,2,0,2,2,2,264,0.60,26.56
2,2,2,2,2,2,2,0,2906,0.60,27.10
2,2,2,0,2,2,2,2,3066,0.50,27.35
2,2,2,0,2,2,2,2,3142,0.50,27.18
2,2,2,2,2,0,2,2,3328,0.50,27.38
2,2,0,2,2,2,2,2,3667,0.70,27.20
2,2,0,2,2,2,2,2,3928,0.50,27.11
2,0,2,2,2,2,2,2,3939,0.50,27.22
2,2,2,2,0,2,2,2,774,0.50,26.50
2,2,0,2,2,2,2,2,786,0.50,26.66
2,0,2,2,2,2,2,2,82,0.40,26.27
2,2,2,2,2,0,2,2,868,0.50,26.64
2,2,2,2,2,0,2,2,944,0.40,26.50
0,2,3,3,3,2,2,1,1036,0.40,26.56
2,3,1,2,0,3,3,2,1162,0.50,26.70
2,2,0,3,3,2,1,3,1167,0.50,26.68
3,1,3,0,2,2,2,3,1269,0.60,26.51
2,3,2,3,0,2,3,1,1447,0.40,26.64
3,2,2,3,3,0,2,1,149,0.60,26.34
3,3,2,2,0,1,3,2,15,0.50,26.35
2,3,0,3,1,2,3,2,162,0.50,26.14
